aaaa 晶晶
rytb 口講
rytn 號前
ryua 唬得
ryuf 唬爛
ryuo 唬人
ryuo 唬住
ryvl 嚷鬧
ryvo 號以
ryvr 嚷嚷
ryvt 嚷著
rywj 口譯
ryy  號是
ryya 號音
ryyc 號旗
ryyp 號誌
ryz  口是
rzag 足量
rzba 嘴巴
rzbb 嘴臉
rzbb 嘴部
rzbe 足膝
rzbh 嘴甜
rzbl 嘴裡
rzbm 嘴唇
rzbn 嘴角
rzbo 嘴饞
rzbo 足部
rzbq 啃掉
rzbq 足用
rzbr 啃咬
rzbr 啃噬
rzbs 嘴硬
rzbt 啃著
rzby 嘴上
rzbz 嘴邊
rzbz 足月
rzc  足金
rzdm 足本
rzfk 足尖
rzgc 足赤
rzgm 足壇
rzhb 足稱
rzhl 足印
rzi  足我
rzic 口述
rzif 足為
rzik 足矣
rzim 足底
rzis 足成
rzjc 足賽
rzjs 足協
rzkb 足有
rzm  足一
rzme 足球
rzmk 足致
rzmy 足下
rzn  足不
rzn  足弓
rznr 足夠
rznu 足色
rzo  足人
rzoa 足智
rzoc 足供
rzok 足使
rzov 足食
rzp  足心
rzpg 足懼
rzpq 足恃
rzq  口過
rzrc 足跡
rzrv 足跟
rzrz 足足
rzrz 足趾
rzs  口邊
rzs  足的
rzst 足聯
rzt  口道
rzuo 口齒
rzvo 足以
rzwh 足見
rzxp 足總
rzy  口這
rzy  足是
rzyp 足意
rzyp 足認
rzyz 足証
rzzb 趾骨
rzzf 趾尖
rzzg 趾高
rzzi 足歲
rzzj 足運
rzzk 趾頭
rzzt 足道
rzzw 趾甲
rzzy 足這
saa  的昌
saaa 的晶
saae 的曝
sab  的明
sabe 的暖
sabj 的暈
sabt 的盟
sac  的題
sacu 的閱
sadh 的閉
sae  的最
saer 的閣
saer 的闊
saf  的顯
sag  的量
sagu 的曉
sah  的阿
sahm 的星
sahs 的昨
saht 的昇
saic 的曠
saiu 的既
saj  的早
saja 的暑
sal  的即
salk 的映
sam  的旦
samg 的旺
samj 的旱
samp 的曬
samv 的晨
samw 的晒
san  的門
sana 的間
sanb 的閒
sand 的閑
sanu 的晚
sao  的閃
sap  的悶
saph 的易
sapn 的剔
sapp 的昆
saq  的時
sarf 的照
sarj 的闡
sas  的聞
sasf 的闖
sasj 的闢
sasr 的暱
sat  的開
sate 的暴
sati 的曦
sau  的巴
savl 的昂
savm 碣石
savz 的關
saw  的冒
sawa 的曙
sawe 的曼
say  的影
saya 的暗
sayf 的景
sayf 的晾
saz  的得
saz  的日
sazp 的匙
sba  的把
sbah 的腸
sbah 的賜
sbam 的腥
sbau 的肥
sbaz 騙得
sbbb 的骨
sbbf 的鵬
sbbh 騙財
sbbj 的辭
sbbm 硼酸
sbbs 硼砂
sbbu 的亂
sbbz 的朋
sbc  的貝
sbca 的贈
sbci 騙錢
sbcj 的罕
sbck 的敗
sbcu 的脫
sbcv 的嬰
sbd  的采
sbdh 的財
sbdt 騙來
sbdu 的乳
sbe 的受
sbf  的然
sbff 的騰
sbfq 的胖
sbfs 的勝
sbg  的肚
sbgc 的贖
sbgh 的膨
sbgi 騙去
sbgn 騙到
sbgr 的周
sbgz 騙走
sbh  的彩
sbhe 的股
sbhe 的販
sbhe 的骰
sbhg 的腫
sbhj 的脾
sbhn 騙術
sbhu 的貌
sbhv 的脈
sbhz 的貶
sbi  的多
sbi  騙我
sbij 的賊
sbiq 的膊
sbir 的胎
sbj  的軍
sbja 的賭
sbjb 的肺
sbjd 騙案
sbje 的肢
sbjm 的腔
sbjn 的貯
sbkb 的賄
sbkg 的雞
sbl  的腳
sbmc 的具
sbmf 的祭
sbmj 的肝
sbmq 的冠
sbmv 的腰
sbmy 騙下
sbmz 的且
sbmz 的賦
sbn  的則
sbnd 騙子
sbnr 的膽
sbnu 的脆
sbnu 騙色
sbo  的部
sbo  騙人
sboc 騙他
sboe 的腹
sbon 騙倒
sboo 的臉
sbp  的胞
sbpa 的脂
sbpk 的胸
sbq  的用
sbrg 的雕
sbro 碉堡
sbru 騙吃
sbrv 騙喝
sbrz 的同
sbs  的助
sbs  騙的
sbsb 騙騙
sbsd 的爭
sbse 騙取
sbsh 的膠
sbsr 騙局
sbss 的凸
sbsv 的脹
sbsv 的賬
sbt  的冊
sbta 騙著
sbtb 的購
sbtc 的賺
sbtk 的膜
sbtn 的刪
sbtr 的膳
sbts 的臟
sbtt 的髒
sbtw 的貓
sbue 硯池
sbui 硯台
sbun 的剛
sbuz 的目
sbv  的妥
sbva 騙婚
sbvp 的懇
sbvv 的臘
sbvy 騙她
sbw  的腦
sbw  騙了
sbwr 騙回
sbwu 的覓
sby  的丹
sbyh 的彤
sbym 騙上
sbyo 騙你
sbyr 的貼
sbyr 的賠
sbz  的月
sbz  的體
sbzq 騙過
sbzv 的腿
scad 層樓
scae 層流
scag 層地
scag 層高
scai 層次
scak 層有
scal 層數
scam 層面
scao 層人
scas 層層
scas 層的
scau 層出
scau 層峰
scav 層以
scax 層級
scay 層是
scaz 的曾
scbb 的鍋
scbr 的銅
scbu 的鋼
scc  的貧
sccu 的銳
scd  的業
scdf 的鍊
sceb 殿軍
scef 殿堂
scej 殿宇
scem 殿下
scen 殿外
sceo 殿內
scev 殿後
scey 殿試
scez 的錄
scfb 的銷
scfc 的鎖
scg  的鐵
sch  的鑽
schb 的錦
schc 的頒
sche 的鍛
schg 的鍾
scht 的盆
sci  的公
scib 的鋪
scic 的頌
scii 的錢
scim 的翁
scj  的針
scjc 的鎮
scju 匹克
sck  的父
scku 的爸
scmm 匹靈
scmt 匹亞
scmu 匹配
scmw 的鐳
scn  的弟
scng 的鈕
scnr 的銘
sco  的八
scob 的鑰
scoi 的鈴
scop 的慾
scor 的谷
scpi 的釣
scpu 的鈍
scq  的鍵
scqo 匹夫
scqv 的錶
scr  的卻
scro 的欲
scru 的兌
scry 的哭
scs  的分
scsf 匹馬
scst 的鑑
sct  的錯
scu  的說
scv  的銀
scwg 的鑼
scy  的鐘
scyk 匹敵
scyu 的鏡
scz  的交
scz  的金
sdah 的楊
sdam 的查
sdap 的棍
sdau 的概
sdaw 的欄
sdb  的相
sdbh 的鬱
sdbn 的刺
sdbv 的櫻
sdc  的橫
sdch 的梯
sdd  的林
sddb 的棘
sddd 的森
sddf 的焚
sddf 的禁
sddh 的材
sddq 的攀
sddw 的棟
sddz 的楚
sdea 破曉
sdeb 破敗
sdeb 破財
sdec 的頗
sdec 破金
sdec 破釜
sdec 破銅
sdec 破鏡
sded 破格
sded 破相
sdee 破浪
sdef 破爛
sdeg 破壞
sdeh 破千
sdeh 破竹
sdeh 破船
sdeh 破血
sdeh 破身
sdei 破戒
sdej 破案
sdek 破布
sdek 破獲
sdel 破費
sdem 破裂
sden 破解
sden 破除
sdeo 破例
sdeq 破損
sder 的格
sder 破口
sder 破吧
sder 破呢
sder 破嗎
sdes 破碎
sdet 破舊
sdet 破落
sdeu 破出
sdev 破好
sdew 破點
sdex 破綻
sdey 破產
sdez 的皮
sdez 破柴
sdez 破這
sdez 破過
sdfe 的隸
sdfw 的檔
sdg  的杜
sdgg 的桂
sdgl 碟都
sdgq 的樹
sdh  的才
sdha 的柏
sdhb 的棉
sdhb 的橋
sdhd 的株
sdhe 的板
sdhl 的析
sdia 鬆開
sdib 鬆脫
sdid 鬆林
sdie 的梭
sdie 鬆浮
sdig 鬆土
sdig 鬆起
sdih 鬆動
sdii 的棧
sdij 鬆軟
sdim 鬆下
sdin 鬆弛
sdio 鬆餅
sdip 鬆懈
sdiq 鬆手
sdir 鬆口
sdis 鬆緊
sdit 鬆散
sdix 鬆綁
sdiz 的寸
sdiz 鬆些
sdj  的末
sdjc 的檳
sdje 的枝
sdjf 的棕
sdjm 的植
sdjn 的檸
sdk  的校
sdkr 的椅
sdkz 的整
sdl  的束
sdl  碟中
sdlc 的賴
sdlh 碟版
sdlo 的桃
sdlv 的樓
sdlz 碟片
sdm  的本
sdmf 的杯
sdmf 的標
sdmg 的枉
sdmg 碟型
sdmh 碟形
sdmm 的極
sdn  的李
sdnb 的桶
sdnd 碟子
sdnf 碟煞
sdnt 的橙
sdok 的枚
sdoo 的檢
sdos 的槍
sdou 碟仙
sdoy 的梅
sdp  的想
sdpa 的楷
sdq  的村
sdqq 的棒
sdqu 的樁
sds  的榜
sdsc 的櫃
sdsg 的框
sdsr 的樞
sdsw 的欖
sdt  的來
sdta 的槽
sdtb 的構
sdtc 的棋
sdtg 的權
sdtk 的模
sdv  的根
sdw  的東
sdyg 的柱
sdyn 的杭
sdyo 的核
sdzz 的木
sdzz 的機
seae 取暖
seaf 取景
seaf 的濕
seag 的涅
seag 的潤
seah 的湯
seap 的混
seat 取開
seav 的渴
seaz 取得
sebb 腎臟
sebb 臀部
sebc 取具
sebd 的浮
sebd 的深
sebf 腎炎
sebg 的淫
sebh 的沉
sebi 取多
sebk 腎病
sebm 的沮
sebm 腎盂
sebn 的測
sebn 腎陽
sebn 臀鰭
sebo 腎氣
sebq 取用
sebr 的洞
sebs 取勝
seby 腎虛
sebz 的清
seca 賢明
secb 取銷
secc 賢弟
secd 賢才
secd 賢相
sece 賢淑
sech 賢德
seci 賢良
secj 賢士
secn 賢孫
seco 的浴
seco 賢人
secq 賢慧
secr 的沿
secs 取分
sect 取錯
secv 賢妹
secw 賢愚
secz 賢達
sed  的沐
sede 的波
sede 的漆
sedg 的塗
sedh 取材
sedk 的決
sedm 的渣
sedo 尿檢
sedt 取來
sedv 取根
see  取水
see  尿水
see  的沒
seeb 取消
seed 的桑
seef 尿濕
seeg 取法
seek 取決
seek 尿液
seeq 取對
seer 的洛
seeu 尿流
seev 的婆
sefa 緊閉
sefb 緊貼
sefc 緊鑼
sefe 緊湊
seff 緊鄰
sefh 緊箍
sefh 緊身
sefi 緊我
sefj 緊密
sefm 緊要
sefn 緊張
sefn 緊急
sefo 緊他
sefo 緊促
sefo 緊缺
sefp 緊慎
sefq 緊扣
sefq 緊抱
sefq 緊挨
sefq 緊接
sefq 緊握
sefr 緊跟
sefs 緊緊
seft 緊著
sefv 緊她
sefx 緊縮
sefx 緊繃
sefy 緊你
sefy 緊記
sefz 取火
sefz 的源
sefz 緊迫
segd 堅韌
sege 堅決
segf 堅料
segh 堅稱
segi 取去
segj 堅守
segj 堅定
segj 堅實
segl 取都
segm 堅厚
segm 尿壺
segn 堅強
sego 堅信
segq 堅拒
segq 堅持
segs 堅忍
segs 堅硬
segt 堅苦
segu 取起
segw 堅固
segy 堅貞
segz 取走
segz 堅道
segz 的法
seh  的沙
seha 的泊
sehb 取向
sehf 的鯊
sehi 取卵
sehk 取笑
sehk 的澳
sehl 尿管
sehn 取利
sehn 的瀏
sehp 取物
sehp 的添
sehr 的活
seht 尿血
seht 的盪
sehu 的洗
sehv 的派
sehw 取自
sehz 的泛
seib 騷亂
seid 尿床
seie 的渡
seif 的滅
seih 騷動
seii 的淺
seij 騷客
seil 的洲
seim 的減
sein 的泳
seio 騷人
seip 騷包
seiq 騷擾
seir 的治
seis 取成
seiv 的浪
seiz 的叉
sejb 取直
sejb 的湖
sejb 的潮
sejc 的濱
sejf 的瀉
sejj 取車
sejl 的漸
sejm 取士
sejn 取字
sejp 取寵
sejr 的沽
seju 取完
sejw 的瀋
sek  的激
sekb 取有
sekb 的滯
sekg 取在
sekl 尿布
sel  的沖
sela 取書
selc 的潰
sele 尿蝦
sell 的淵
selp 的洩
selq 的津
selu 的沈
selv 取數
selw 的油
selz 尿片
sema 的潛
semb 取而
seme 尿酸
semf 取票
semf 的漂
semh 取形
semh 的鴻
semj 的汗
semj 的潭
seml 取酬
semn 翳障
semp 的灑
semr 的河
sems 取巧
semw 的酒
semy 取下
semz 取一
semz 的江
semz 的瀝
sen  的灣
senb 的涌
send 的染
sene 的汲
sene 的潑
senf 的漁
senp 尿急
senr 取名
sens 的湧
sent 的澄
senu 的涵
senv 的漲
seoa 聚星
seob 聚賭
seoc 取貨
seod 取保
seof 聚光
seoh 聚積
seoi 聚神
seok 聚在
seok 聚有
seok 聚頭
seom 聚酯
seon 的汽
seon 的渝
seoo 聚合
seoo 聚會
seoo 聚焦
seoo 聚集
seop 取代
seoq 取件
seoq 聚攏
seor 取舍
seor 的洽
seos 聚居
seot 聚落
seot 聚首
seow 聚了
seow 聚眾
seox 聚結
seox 聚變
seoy 聚餐
seoz 取人
seoz 的漢
sepd 的池
seph 的泌
sepk 取快
sepo 的淘
sepu 取悅
seq  的對
seqf 尿素
seqi 尿毒
seqj 取掉
seqk 的湊
seql 的浙
seqr 取捨
seqs 取靜
sera 取吧
serd 的澡
serf 取嗎
serl 取哪
serp 取呢
serr 尿路
sers 駱駝
seru 的況
serz 的各
ses  取的
ses  的匯
sesb 的漏
sesd 的渠
sese 取取
sese 尿尿
sese 的浸
sesf 取碼
sesl 取那
sesp 的泥
sest 的濫
sesv 取長
sesw 的溜
sesz 的澀
seta 取著
setb 的溝
setb 的滿
setc 取其
setc 的洪
setc 豎八
sete 取樣
setg 豎起
seth 豎笛
seti 取義
seti 的滋
setj 豎直
setk 的漠
setm 豎琴
sett 的溢
sett 豎井
sett 豎著
setu 的港
setv 的湛
setv 的濃
setw 豎眼
sety 豎立
setz 的洋
seu  的流
seub 尿崩
seuu 取出
seva 娶得
sevc 娶錯
sevd 取樂
sevg 娶到
sevg 娶走
sevi 娶我
sevj 娶妻
sevn 取好
sevo 取以
sevo 娶個
sevs 娶的
sevs 娶那
sevt 娶著
sevv 娶她
sevv 娶妳
sevv 娶媳
sevv 娶嫁
sevw 娶了
sevw 娶回
sevy 娶親
sevz 娶這
sevz 娶過
sew  取了
sew  的淚
sewi 的濁
sewr 取回
sewt 的溫
sewy 取點
sexb 取締
sexr 取給
sexz 取經
sey  的冬
seya 取音
seyb 的滴
seyd 的游
seye 的淑
seyf 的涼
seyg 的注
seyj 尿斗
seyk 的液
seyl 的濟
seyp 尿意
seyp 的濾
seyr 的沾
seyt 取證
seyt 的泣
seyv 的滾
sez  取之
sez  的水
sez  的演
sezc 尿頻
sezc 的瀕
sezh 的涉
sezm 取些
sezq 取過
sezt 取道
sezt 尿道
sezy 取這
sfae 的爆
sfag 的糧
sfav 馬關
sfaw 的爛
sfba 的嘗
sfbc 的賞
sfbc 馬具
sfbf 的燃
sfbf 硝煙
sfbg 的堂
sfbj 馬賊
sfbl 馬腳
sfbm 硝酸
sfbn 的削
sfbo 硝化
sfbq 的掌
sfbr 馬膽
sfbt 硝基
sfbu 馬亂
sfbv 馬腿
sfbz 的肖
sfc  的類
sfch 的粉
sfci 馬公
sfcv 馬錶
sfda 馬槽
sfdb 馬桶
sfde 屎波
sfde 馬皮
sfdf 的煉
sfdg 屎坑
sfdg 屎塔
sfdl 屎片
sfdl 屎蟲
sfdn 馬刺
sfdp 屎忽
sfds 屎尿
sfdt 馬來
sfdw 屎眼
sfdz 的米
sfej 馭者
sfen 馬灣
sfeo 馬漢
sff  的炎
sffb 馬幣
sffc 馬糞
sffc 馬類
sffd 的榮
sffh 的炒
sffi 的瑩
sffo 馬家
sffr 的營
sffs 的勞
sfft 馬燈
sfgc 馬赫
sfgh 馬場
sfgn 馬到
sfgn 馬坑
sfgu 的燒
sfhc 砂鍋
sfhd 砂皮
sfhf 砂粒
sfhf 砂糖
sfhg 砂土
sfhg 砂地
sfhg 砂坑
sfhh 砂質
sfhi 砂塵
sfhj 砂輪
sfhk 砂布
sfhm 砂石
sfhn 馬利
sfhn 馬術
sfho 砂仁
sfhs 砂層
sfhu 砂岩
sfhu 馬兒
sfhv 砂漿
sfhw 砂眼
sfhx 砂紙
sfhz 的少
sfhz 馬乏
sfi  的螢
sfia 馬良
sfie 馬康
sfie 馬廄
sfim 馬祖
sfir 的糖
sfj  的輝
sfjb 的糊
sfjc 馬賽
sfjj 馬車
sfjn 馬字
sfjs 的烤
sfju 馬克
sfkb 的幣
sfke 馬友
sfki 馬太
sfks 馬力
sfkt 的弊
sfkw 的瞥
sfky 馬頭
sfkz 的尖
sfkz 馬大
sflb 馴服
sflg 馬裡
sfli 馴良
sfli 馴鹿
sflj 馬蜂
sflj 馬褲
sflk 馴獅
sflm 馴至
sflo 馴化
sflr 馴獸
sflt 馴養
sflu 馬蠅
sfly 馬褂
sflz 的常
sfm  的光
sfmc 的煩
sfme 馬球
sfmf 馬票
sfmg 的煙
sfmg 馬雅
sfmk 馬爾
sfmn 馬丁
sfmw 馬面
sfmy 馬下
sfn  的判
sfn  馬不
sfnd 馬子
sfne 馬陵
sfno 馬隊
sfnr 馬可
sfnt 的燈
sfo  的家
sfo  馬人
sfoa 馬偕
sfoa 馬會
sfob 馬內
sfod 馬仔
sfog 的雀
sfoh 馬修
sfoo 馬伕
sfoo 馬肉
sfoq 馬年
sfoq 馬年
sfp  的炮
sfpk 馬快
sfqb 的精
sfqb 磷肥
sfqb 磷脂
sfqf 磷光
sfqh 的券
sfql 的鄰
sfqm 磷酸
sfqo 馬夫
sfqq 的拳
sfqs 磷磷
sfqt 馬拉
sfqu 的卷
sfqv 馬表
sfqz 尉遲
sfqz 的半
sfr  的尚
sfrb 馬蹄
sfrc 馬跡
sfrd 的燥
sfrk 的敞
sfrl 馬嘶
sfrr 馬路
sfry 馬號
sfs  的炸
sfs  馬的
sfsc 馬匹
sfse 馬尿
sfsf 馬鬃
sfsg 的耀
sfsh 馬刀
sfsj 馬耳
sfsp 馬屁
sfsq 馬群
sfsr 馬局
sfsu 馬尾
sfsw 馬醫
sft  的粒
sftb 馬蒂
sftd 的煤
sftf 的糕
sfth 馬首
sftk 馬鞭
sftl 馬斯
sftn 馬前
sftp 馬靴
sfts 馬勒
sftv 馬鞍
sftw 馬蘭
sfu  馬山
sfv  的五
sfvg 馬壯
sfvz 馬後
sfw  的當
sfwg 馬里
sfwi 的燭
sfwl 馬甲
sfwp 馬恩
sfww 馬國
sfxv 馬網
sfxw 馬纜
sfxz 馬經
sfy  的料
sfy  馬是
sfyd 的燦
sfyi 馬戲
sfyk 馬文
sfym 馬上
sfyp 馬龍
sfyt 的爐
sfyu 馬虎
sfz  的火
sfz  的黨
sfzh 馬步
sfzo 馬齒
sfzq 馬達
sgam 的塌
sgb  的再
sgc  的增
sgck 的赦
sgd  的未
sgde 的坡
sge  的報
sgea 的馨
sgf  的熱
sgfo 的款
sgfw 確當
sggq 的封
sggy 的卦
sgh  的場
sghd 確乎
sghe 的殼
sghf 確系
sghi 的塊
sghr 的垢
sgib 的埔
sgib 確能
sgih 戳印
sgij 戳穿
sgim 的域
sgip 確應
sgir 的塘
sgis 戳戳
sgis 戳破
sgis 的劫
sgis 的勢
sgis 砝碼
sgiy 戳記
sgiz 的去
sgj  的聲
sgja 的堵
sgjc 確實
sgji 的執
sgjq 確守
sgjz 確定
sgk  的埃
sgkb 確有
sgkz 確知
sgl  的都
sglc 的赤
sgly 確非
sgm  的坦
sgmb 的壩
sgn  的到
sgn  確不
sgni 的壽
sgo  的高
sgod 確保
sgog 的堆
sgoy 確信
sgpa 聽得
sgpa 聽聞
sgpc 聽說
sgpc 聽錯
sgpd 聽來
sgpe 聽清
sgpg 聽到
sgpg 聽起
sgph 聽從
sgph 聽筒
sgpi 聽憑
sgpi 聽成
sgpi 聽我
sgpj 聽完
sgpj 聽寫
sgpk 聽力
sgpl 聽書
sgpm 聽一
sgpm 聽下
sgpm 聽厭
sgpm 聽天
sgpm 聽政
sgpm 聽歌
sgpm 聽而
sgpn 聽障
sgpo 聽任
sgpp 聽慣
sgpq 聽打
sgpr 聽唔
sgps 確切
sgps 聽取
sgpt 聽其
sgpt 聽差
sgpt 聽落
sgpt 聽著
sgpu 聽覺
sgpv 聽她
sgpv 聽好
sgpv 聽後
sgpw 聽了
sgpw 聽眾
sgpw 聽見
sgpw 聽話
sgpy 聽講
sgpz 的志
sgpz 聽道
sgqb 的幫
sgr  的吉
sgrg 的臺
sgrr 的嘉
sgsu 確已
sgsz 的城
sgsz 確的
sgtc 確鑿
sgte 的鼓
sgth 的彭
sgtj 的幸
sgtk 磕頭
sgtr 的塔
sgtv 的堪
sgtz 的喜
sgun 驍勇
sgus 驍騎
sguv 驍將
sguz 的起
sgv  的越
sgw  的賣
sgwg 的埋
sgy  確是
sgyb 確論
sgyh 確診
sgym 的壇
sgyn 的坑
sgyp 確認
sgyr 的培
sgys 的坊
sgyt 確立
sgyu 的境
sgyv 的壞
sgyv 的壤
sgyz 確証
sgz  的土
sgz  的走
sgzb 的趙
sgze 的趣
sgzf 的趟
sgzh 的趁
sgzj 的趕
sgzp 的趨
sgzr 的超
sgzy 的赴
sha  的白
shaa 的簡
shae 的泉
shaf 的鳥
shag 的皇
shal 的節
shau 的島
shba 刀把
shbb 的稱
shbc 刀具
shbd 驕橫
shbe 鬍渣
shbi 驕恣
shbi 驕態
shbj 匾額
shbk 的奧
shbm 的租
shbn 鬍子
shbo 驕傲
shbp 的穩
shbp 驕慢
shbr 的稠
shbr 髯口
shbs 鬍鬚
shbt 的血
shbv 驕女
shbx 驕縱
shby 驕敵
shbz 的向
shca 鬚眉
shcd 鬚根
shcj 刀鋒
shcl 刀斧
shcn 的劉
shcn 的銜
shcn 鬚子
shcp 鬚刨
shcq 的舉
shcq 鬚生
shcr 刀鋸
shcr 的船
shcs 刀鎗
shcs 鬚髮
shcs 鬚鬚
shcu 的稅
shcz 的與
shda 的香
shdb 刀柄
shdd 的季
shde 的彼
shdi 的私
shdl 的秉
shdm 的笨
shdn 刀刺
shdn 的衛
shdp 刀棍
shdp 的乘
shdp 的悉
shdr 刀槍
shds 硃砂
shdt 刀械
shdv 的委
shdw 的箱
sheg 刀法
sheh 履行
shei 刀叉
shek 履帶
shem 履歷
sheq 的簿
sher 的黏
shet 履薄
shet 的盤
shex 履約
shey 履新
shez 的反
shfb 的稍
shfd 的乎
shfh 的秒
shfh 鬃毛
shfk 刀尖
shfm 刀光
shfp 的愁
shfr 的躺
shfw 的番
shfz 的秋
shg  的重
shgc 的顧
shgd 的待
shgl 的郵
shgn 的街
shgq 的等
shgr 的告
shgs 的動
shgy 的靠
shgz 的徒
shh  的竹
shh  的第
shhb 的篇
shhb 的篩
shhc 刀兵
shhc 的須
shhd 的躲
shhe 的皈
shhe 的般
shhg 的種
shhh 刀身
shhj 的卑
shhk 的笑
shhn 刀箭
shhn 的衝
shho 的秩
shhq 刀筆
shhq 的射
shhu 的循
shhw 的留
shia 的稽
shif 的鵝
shik 戮力
shin 的術
shio 的瓜
shir 的颱
shiz 的風
shjc 的輿
shjc 碑銘
shjd 碑林
shje 的段
shjl 碑帖
shjm 碑石
shjn 刀割
shjp 的德
shjs 碑碣
shju 的範
shjw 的盾
shjy 碑亭
shjy 碑刻
shjy 碑文
shjy 碑記
shjy 碑誌
shjz 的千
shkb 髮膠
shkd 刀架
shkd 髮根
shke 髮油
shkh 髮毛
shkh 髮質
shki 髮廊
shkj 髮妻
shkk 髮夾
shkl 髮蠟
shkm 髮型
shkn 髮際
shkp 的懲
shkq 的肇
shkq 髮指
shkq 髮捲
shks 髮髻
shkt 髮菜
shku 刀疤
shkv 刀痕
shkx 髮絲
shky 刀頭
shky 髮端
shky 髮膚
shky 髮辮
shlb 刀背
shlc 的質
shlf 的禦
shlo 匠氣
shlp 匠心
shlp 的乖
shlq 的律
shlq 的筆
shly 的徘
shlz 刀片
shlz 的所
shmb 的師
shmc 的兵
shmd 的築
shmd 砥柱
shmf 的鳳
shmj 的竿
shml 的斤
shmm 的徑
shmm 砥勵
shmr 刀石
shmr 的后
shms 砥礪
shmt 刀豆
shmw 刀面
shmy 刀下
shmy 的斥
shmz 的征
shmz 的行
shn  的利
shnd 刀子
shnd 的梨
shni 的凡
shnk 的衡
shnl 的彿
shnn 的移
shno 的欣
shnv 的製
shoc 的籲
shod 刀仔
shoe 的復
shoh 刀傷
shol 刀劍
shom 刀俎
shom 的籤
shoo 的簽
shoq 的符
shor 的答
shoz 的從
shpa 聰明
shpe 的黎
shph 的秘
shpk 的筷
shpl 的印
shpn 的剩
shpo 聰敏
shpp 聰穎
shpq 聰慧
shps 髭鬚
shpz 的物
shq  的牛
shqa 的籍
shqc 的積
shqd 的牠
shqj 的拜
shqk 的牧
shqm 的牲
shqo 的失
shqq 的特
shqs 的犧
shqu 的毛
shra 召開
shrg 的程
shrh 召委
shrk 的啟
shro 召集
shrq 的籌
shrr 召喚
shrs 召的
shrs 聒耳
shrt 召募
shrv 召妓
shrw 召回
shrw 召見
shry 召請
shrz 刀口
shrz 的和
shsb 的扁
shsb 的肩
shsc 的貿
shse 的殷
shsh 刀劈
shsi 刀刃
shsm 的扇
shso 刀砍
shsp 的怎
shsr 的軀
shss 的房
shst 的籃
shst 的艦
shsz 的戶
shtb 刀鞘
shtc 的箕
shte 的穫
shtg 的垂
shth 刀剪
shtm 的甜
shtn 的箭
shtz 的升
shu  的兒
shua 尾巴
shuc 的贊
shud 尾椎
shud 尾標
shud 的朵
shue 尾水
shuf 尾燈
shuf 的徽
shug 尾聲
shuh 尾段
shuh 尾盤
shuh 尾舵
shuh 尾行
shuk 尾大
shuk 的微
shul 尾數
shum 尾牙
shun 尾隨
shun 尾鰭
shuo 尾氣
shuo 尾袋
shuq 尾手
shuq 尾指
shus 尾的
shus 尾碼
shus 尾翼
shuv 尾以
shuv 尾後
shuv 的鼠
shuy 尾音
shuz 刀山
shuz 尾追
shuz 尾運
shuz 尾邊
shvf 的系
shvk 鬣狗
shvz 的很
shw  的自
shwf 的纂
shwh 尸身
shwh 的身
shwi 的鬼
shwj 的釋
shwk 的臭
shwm 的翻
shwp 的息
shwr 的箇
shws 的粵
shwt 的算
shwt 的鼻
shxk 刀絞
shy  的科
shyb 的稿
shyg 的往
shyk 的徹
shyn 刀刻
shyn 的航
shyp 的籠
shys 的彷
shz  的乏
shzb 的歸
shzg 的艇
sia  的良
sib  的能
sibb 的禍
sibm 的祖
sibn 的廁
sicb 礦脈
sicc 礦業
sicd 礦柱
sice 礦油
sicf 礦燈
sicg 礦坑
sicg 礦場
sich 礦物
sici 礦床
sicj 礦車
sicm 礦石
sicn 礦務
sico 礦內
sics 礦區
sict 礦井
sict 礦藏
sicu 礦山
sicy 礦產
sicz 的廣
sid  的床
sidb 的廂
sidd 的麻
side 的求
sidi 的魔
sidq 的摩
sidr 的磨
sidw 的凍
siek 的救
sien 駿發
sieo 駿傑
sies 駿馬
siez 的冰
siez 駿逸
sif  的為
sifk 的廠
sifp 的憑
sig  的社
sige 的凌
sigp 的應
sigq 的廚
sigq 的禱
sigr 的禧
sihb 刃具
sihc 刃鋒
sihl 的祈
sihm 的底
sihq 的牟
sihr 刃口
sihu 的允
sii  的麼
siib 的朗
siih 的參
siil 的廊
siil 的郎
sijb 的廟
sijj 的庫
siku 的尤
sil  的神
silb 的庸
sile 的康
sill 的州
silr 的唐
sim  的或
sime 的廈
simp 的惑
sine 的永
sinm 的廢
sinn 的序
sio  的次
siog 的准
sioi 的冷
sion 的瓷
sioo 的座
sioq 的府
sior 的咨
siov 的姿
sipa 忍得
sipb 忍受
sipe 的慶
sipf 的熊
sipg 忍到
sipg 的塵
siph 忍術
siph 的祕
sipj 忍者
sipk 忍痛
sipm 忍耐
sipo 忍住
sipp 忍心
sipp 忍性
sipp 的態
sipq 忍手
sips 忍忍
sips 忍的
sipt 忍著
sipw 忍了
sipw 忍睹
sipy 忍讓
sipz 忍過
sipz 的凝
sipz 的感
siqa 肆暴
siqc 肆業
siqh 肆行
siqi 肆應
siqo 的腐
siqo 肆仟
siqo 肆佰
siqo 肆無
siqq 肆拾
siqr 肆口
siqt 肆萬
siqy 肆虐
siqz 的專
siru 的祝
sis  的成
sisk 的敷
sisp 的廳
sist 的盛
sitb 的席
sitb 監軍
sitc 的廉
sitd 監禁
site 監測
sitg 監場
sith 監委
sith 監管
siti 監視
sitj 監事
