aaalx 晶片組
mwjl  一回事
mwju  一四七
mwmt  面面觀
mwnbs 副部長
mwnds 副校長
mwnfs 副省長
mwnhs 副所長
mwnis 副社長
mwnjq 副教授
mwnly 副書記
mwnms 副班長
mwnns 副院長
mwnob 副作用
mwnor 副食品
mwnos 副會長
mwnso 副司令
mwnss 副司長
mwnss 副局長
mwnuj 副學士
mwnuo 副學位
mwnws 副團長
mwnws 副署長
mwnxj 副總裁
mwnxm 副總理
mwnxx 副總統
mwnyh 副產物
mwnyi 副主席
mwnyo 副主任
mwnyr 副產品
mwnys 副市長
mwnys 副處長
mwnys 副議長
mwp   一顆心
mwpd  一點也
mws   一貫的
mws   一點的
mwts  面前的
mwuoo 現代人
mwvgm 環境下
mwvos 環保局
mwvow 環保署
mwwy  一點點
mxs   一級的
myat  下星期
myez  下水道
myfg  下半場
myfh  下半身
myfo  下半年
myfv  一六五
mygi  一齊去
myhe  下香港
myhk  下所有
myho  下稿代
myiu  下我們
myjl  下載版
myjmm 醉醺醺
myjtt 醉薰薰
myka  下有關
mykm  下大雨
myma  下一題
mymh  下一篇
mymi  一站式
mymi  下一次
mymi  下政府
mymm  下一頁
mymm  下雨天
mymo  下一代
mymo  下一件
mymo  下一個
mymo  下一年
mymo  下工作
mymp  下一世
mymq  下功夫
mymq  下工夫
myms  下一屆
myms  下一層
mymw  一方面
mymy  下一章
mymz  下一些
mymz  下一步
mynv  下可以
myob  下使用
myob  下個月
myod  下午校
myoi  下年度
myoo  下任何
myos  下午的
myot  下午茶
myou  下他們
mypb  一夜情
mypx  下世紀
myqo  下提供
mysi  下馬威
myss  一方的
myte  下葵涌
myuo  下學年
myut  下學期
myxy  下結論
mzem  正對面
mzfo  正常人
mzfs  正常的
mzfs  正當的
mzgi  一過去
mzhh  正等待
mzhy  正所謂
mzkef 政治家
mzkeo 政治化
mzkep 政治性
mzkes 政治局
mzkes 政治的
mzkeu 政治學
mzkey 政治上
mzkfs 政黨的
mzkg  一些在
mzkhp 政策性
mzkhs 政策局
mzkhs 政策的
mzkib 政府軍
mzkik 政府在
mzkio 政府會
mzkis 政府的
mzkiy 政府是
mzknj 政務官
mzkns 政務司
mzlb  正中央
mzll  一連串
mzms  正面的
mzms  正面臨
mzo   一些人
mzoq  一週年
mzqs  正規的
mzrjj 露宿者
mzrmq 露一手
mzs   一些的
mzsd  正確地
mzsp  正確性
mzss  正確的
mzti  正義感
mzvk  正努力
mzvy  正好是
mzwi  正因為
mzyd  正調查
mzym  正方形
mzys  正處於
mzzh  一步步
naaz  不曉得
naha  不明白
nahau 陽明山
naib  不明朗
nakg  不得在
nan   不得不
naod  不景氣
naohm 象徵式
naoht 象徵著
nap   不開心
nap   不關心
nasg  不明確
nasu  不得已
nauhr 色香味
nava  不影響
naval 限量版
navcs 限公司
naw   不得了
nbcag 負得起
nbcgs 負增長
nbcjy 負資產
nbcqh 負責制
nbcqo 負責人
nbcqo 負責任
nbcqs 負責的
nbcu  不用說
nbfw  不妥當
nbgb  不用再
nbmg  不受理
nbmi  角政府
nbnne 鰂魚涌
nbns  角色的
nbnw  不同了
nbo   不同人
nbpa  不用怕
nbphd 隱私權
nbpnd 隱隱地
nbptt 隱藏著
nbs   不同的
nbsmd 勇敢地
nbsy  不同於
nbsy  不多於
nbyp  不同意
ncaa  小星星
ncao  小時候
ncao  小時內
ncay  小巴站
ncbc  小部分
ncbd  小股東
ncbj  小貼士
ncbk  小朋友
ncbn  小冊子
ncbo  小部份
nccf  小說家
nccu  不銹鋼
nccw  小公園
ncdj  小檔案
ncds  小木屋
ncee  小瀝源
ncfm  小精靈
ncha  小息時
nchf  小和尚
nchh  小兒科
nchh  小動物
nchn  小兒子
ncho  小動作
nciv  小魔女
ncjj  小博士
ncjj  小寶寶
ncjj  小故事
ncjl  小蜜蜂
nckm  小布殊
nclf  小畫家
ncmd  小天地
ncme  小西灣
ncmh  小百科
ncmm  小琉球
ncmn  小王子
ncmo  小天使
ncmy  小玩意
ncmz  不公正
ncnn  小孩子
ncno  小飛俠
ncns  小小的
ncoc  小企業
ncof  小作家
ncoh  小人物
ncon  小伙子
ncor  小倆口
ncow  小人國
ncpj  不公平
ncqd  小規模
ncqm  小提琴
ncrmo 詹天佑
ncrvj 詹姆士
ncs   不錯的
nctn  小燕子
ncub  小學部
ncud  小學校
ncuq  小學生
ncus  小學的
ncvn  小女子
ncvn  小女孩
ncvv  小妹妹
ncwn  小圈子
ncwn  小男孩
ncxs  小組的
ncyr  小市民
ncyw  小夜曲
nczy  小遊戲
ndbc  子目錄
ndcs  子公司
ndgb  不想再
ndhb  不相稱
ndjr  不相容
ndmj  不相干
ndoy  不相信
nds   不朽的
ndtsq 孟加拉
ndttv 孟姜女
ndya  不相識
neaa  及問題
neal  不清晰
neam  及時雨
nebn  及服務
necs  及公司
neds  及地區
nedz  不清楚
neee  及澳洲
nehe  及香港
nehk  及所有
nejf  及資料
nejs  及密碼
neka  及有關
nelw  及中國
nely  及中文
nemi  及政府
nemm  及需要
nemo  及一個
nemo  及工作
nems  不對勁
nene  不涉及
nens  及發展
neob  及使用
neoo  及任何
neou  及他們
neqh  及提升
neqj  及投資
neqma 降雨量
neqo  及提供
nerz  不滿足
neth  及其與
neto  及其他
nexm  及網頁
neyo  及文化
neyp  不滿意
nfbh  魚肚白
nfo   不少人
nfsy  不少於
ngdt  不起來
nggej 陸海空
nggho 陸委會
nggrn 陸戰隊
nghc  不高興
ngkb  不再有
ngs   不到的
ngto  不喜歡
ngy   不再是
ngzq  不超過
nhbf  不自然
nhflu 孫中山
nhfpj 孫悟空
nhfti 孫燕姿
nhhj  免稅額
nhhr  免稅品
nhhy  免簽證
nhibn 虱目魚
nhif  不失為
nhii  不怎麼
nhis  不贊成
nhiu  不重視
nhjz  不穩定
nhkg  不自在
nhkk  免疫力
nhkz  不自知
nhmv  不重要
nhnw  免不了
nhohn 孤兒院
nhomm 孤零零
nhooo 孤伶伶
nhor  不符合
nhqd  免責權
nhrj  不簡單
nhrr  不歸路
nhs   不動的
nhsy  不利於
nhsy  不等於
nhuw  不自覺
nhy   不算是
nhy   不管是
nhym  不動產
nhyo  不管你
nibn  不能不
nibq  不能用
nicu  不能說
nigb  不能再
niihc 強積金
niihp 強制性
niikk 強有力
niipc 強心針
niiys 強調的
nims  不成功
ninr  不能夠
niok  不能使
nirhe 名香港
nirnm 名不正
nirrm 名員工
nirty 名義上
nirwn 名男子
niryj 名記者
nis   不良的
nisr  不參加
niyf  不成熟
niyj  不允許
niyo  不應該
niyt  不成立
niyv  不能讓
njah  不容易
njah  不輕易
njdz  不完整
njjc  不真實
njod  不客氣
njog  不安全
njog  不完全
njqe  不支援
njtb  不定期
njyj  不容許
njyr  不協調
nkdw  又來了
nkek  又沒有
nkfo  不在家
nkgw  又到了
nkhd  不在乎
nkhi  又怎能
nkhi  又稱為
nkho  又怎會
nkht  又怎樣
nkij  又或者
nkkg  不存在
nkko  又有人
nkmd  又一村
nkmg  又一城
nkmi  又一次
nkmi  又要求
nkmo  又一個
nkni  又不能
nkni  又可能
nkno  又不會
nknr  不知名
nknv  又可以
nkny  又不是
nkomf 陝西省
nkop  又何必
nkpb  不知情
nkro  又唔係
nksy  不在於
nkua  又覺得
nkvn  不太好
nkvo  又如何
nky   不知是
nkyg  不希望
nkym  又是一
nkzt  不知道
nlaz  不由得
nlgs  引起的
nlgw  引起了
nmaf  發明家
nmaqo 陌生人
nmba  不要把
nmbjm 彌賽亞
nmbo  發脾氣
nmbq  不要用
nmbto 彌勒佛
nmbyz 彌敦道
nmcu  不敢說
nmcu  不要說
nmdp  不理想
nmeb  發泡膠
nmed  發源地
nmfc  不耐煩
nmfk  發燒友
nmfl  不正常
nmfw  不正當
nmgb  不敢再
nmgb  不要再
nmgi  不下去
nmgi  不要去
nmgo  發起人
nmha  發行量
nmhd  發動機
nmho  發行人
nmhy  發行商
nmig  發現到
nmiw  發現了
nmjz  不一定
nmko  發布會
nmky  發病率
nmmd  發電機
nmmi  發電廠
nmmk  不一致
nmmv  不需要
nmnc  不干預
nmoa  不理會
nmoo  發佈會
nmoo  發信人
nmpa  不要怕
nmqg  發揮到
nmqk  發生在
nmqs  發揮的
nmqs  發生的
nmqs  發表的
nmqt  發揮其
nmqu  發揮出
nmqv  發生後
nmqw  發揮了
nmqw  發生了
nmqw  發表了
nmqz  發生過
nmsb  發展部
nmsf  不要緊
nmsg  不正確
nmsg  發展到
nmsh  發展所
nmsh  發展科
nmsi  發展成
nmsi  發展為
nmsl  發展中
nmsl  發展史
nmsm  發展至
nmsp  發展性
nmss  發展局
nmss  發展的
nmst  發展其
nmsu  發展出
nmsy  不至於
nmsy  不致於
nmsy  發展商
nmsy  發展處
nmte  不一樣
nmtih 登廣告
nmtnh 登陸艇
nmttg 登革熱
nmtun 登山隊
nmtyb 登記冊
nmtyl 登記費
nmtyq 登記表
nmtyy 登記處
nmtyy 登記證
nmudi 危機感
nmunh 危險物
nmunp 危險性
nmunr 危險品
nmus  發出的
nmvq  不要將
nmyd  發言權
nmyo  發言人
nmyp  不願意
nmyv  不要讓
nnbq  不可用
nnchj 預算案
nnchl 預告片
nncho 預算內
nncoc 預備金
nncon 預備隊
nncs  不可分
nncts 預期的
nncu  不可說
nncyg 預計到
nncyk 預計在
nndr  不及格
nngb  不可再
nnhd  不外乎
nnhm  不可行
nnhy  不可靠
nnib  不可能
nnn   不可不
nnoy  不可信
nnp   不小心
nnqc  不負責
nnrn  不可不
nnse  不可取
nnsy  不限於
nntn  不久前
nnvo  不可以
nnvz  不久後
nnyf  不久就
nnyp  不承認
noaz  不值得
nobe  不舒服
nobq  不使用
node  不停地
nodht 除稅前
nodhv 除稅後
nodlk 除非有
nodlt 除蟲菊
nodly 除蟲劑
nodly 除非你
nodly 除非是
nodny 除夕夜
nodqo 除提供
nodr  不合格
nodwk 除了在
nodwn 除了可
noeg  不合法
noeq  不會對
nogb  不會再
nogi  不會去
nohd  不合乎
noidd 陰森森
noif  不會為
nokb  不會有
nokg  不會在
nole  不會被
nomg  不合理
nony  不例外
nooa  不但會
noog  不信任
noom  不僅僅
noos  不合作
noqsl 附加費
noqso 附加值
noqss 附屬於
noqtk 附著力
noqv  不代表
nos   不停的
nosy  不低於
noy   不但是
noy   不僅是
noy   不會是
noyp  不介意
noyv  不會讓
nozb  不合適
nozw  久違了
npahp 階段性
npahs 階段的
npamw 階下囚
npaz  不懂得
npfw  不恰當
npgb  不必再
nphb  急行軍
nphk  不平衡
nphq  不平等
npjv  急轉彎
npkj  急症室
npmv  不必要
npoea 陶淵明
npoir 陶瓷器
npoqc 陶朱公
nppk  不愉快
nppp  急匆匆
npqc  急先鋒
npqr  不包括
npray 夠得上
nprbk 夠朋友
npth  急驚風
npuim 鮑威爾
npvd  不快樂
npy   不也是
npyy  急就章
npyy  急診處
nqaz  不捨得
nqbe  不接受
nqbn  不規則
nqdi  解析度
nqes  解決的
nqew  解決了
nqhc  解釋說
nqhi  解釋為
nqhs  解釋的
nqht  不打算
nqnd  不排除
nqoc  不提供
nqocy 承銷商
nqoi  解像度
nqopy 承包商
nqoyk 承認在
nqoys 承諾的
nqoyy 承辦商
nqozy 承建商
nqp   不擔心
nqsr  解碼器
nqyb  解放軍
nqyr  解調器
nrag  可得到
nrbs  可用於
nrbv  可用以
nrci  可分為
nrcy  可說是
nref  可減少
nrer  可滿足
nres  可瀏覽
nrgb  可幫助
nrhb  可利用
nrhf  可節省
nrhh  可自行
nrhl  可自由
nrhp  可行性
nrhp  可靠性
nrhy  可算是
nrig  可能再
nrij  可能較
nrik  可能在
nrik  可能有
nrim  可能要
nrio  可能係
nrio  可能會
nrip  可能性
nris  可能已
nriy  可能是
nriz  可能還
nrjps 彈性的
nrjq  可轉換
nrjy  可考慮
nrka  可獲得
nrkb  可獲贈
nrkz  可知道
nrly  可申請
nrmm  可致電
nrne  可解決
nrni  可不能
nrnq  可發揮
nrnr  不足夠
nrns  可發展
nrny  可不是
nrny  可隨意
nrob  可使用
nroh  可人兒
nroi  可信度
nrop  可信性
nros  可愛的
nrpl  可憐蟲
nrpq  可包括
nrps  可怕的
nrps  可疑的
nrqg  可提高
nrqo  可提供
nrrc  不單只
nrs   不足的
nrss  可取的
nrst  可改善
nrtx  可蘭經
nrva  可以得
nrvb  可以把
nrvb  可以用
nrvc  可以說
nrvg  可以去
nrvh  可以從
nrvh  可以與
nrvj  可以做
nrvj  可以寫
nrvk  可以在
nrvk  可以有
nrvm  可以一
nrvm  可以玩
nrvo  不足以
nrvo  可以係
nrvq  可以看
nrvr  可以吃
nrvr  可以唔
nrvr  可以嗎
nrvs  可以的
nrvu  可以學
nrvv  可以將
nrvw  可以了
nrvw  可以話
nrvw  可以買
nrvy  可以放
nrvy  可以講
nrvy  可以讓
nrws  可見的
nry   不只是
nry   不單是
nryj  可設定
nryk  可享有
nryk  可是在
nryk  可望在
nryw  可卡因
nrzb  可選用
nrzn  可避免
nrzq  可選擇
nrzz  不單止
nrzz  可透過
nsfl  不尋常
nshm  不履行
nsii  不那麼
nsjz  不確定
nspc  不習慣
nssy  不屬於
nswa  不聽話
nsxk  不改變
ntbf  不期然
nthb  飛毛腿
nthe  飛利浦
nthr  飛行員
ntlms 鄧麗君
ntlnp 鄧小平
ntloe 鄧健泓
ntp   不甘心
ntvb  飛將軍
nuaz  不覺得
nudt  不出來
nvam  張曼玉
nvbe  不好受
nvbk  張貼在
nvde  不斷地
nvdt  張柏芝
nvff  張家輝
nvfp  張燊悅
nvho  張衛健
nvif  不以為
nvjv  張惠妹
nvkb  不斷有
nvkh  張老師
nvmm  張玉珊
nvmu  張震嶽
nvns  張可頤
nvob  張信剛
nvok  張俊雄
nvom  張愛玲
nvom  張智霖
nvoo  張佳佳
nvqq  張先生
nvs   不好的
nvs   不斷的
nvty  張藝謀
nvuk  張學友
nvwf  張國榮
nvyf  張文光
nvyp  不如意
nvyt  張文慈
nvza  張達明
nvzj  張建宗
nwad  陳曉東
nwajz 魯賓遜
nwaz  不見得
nwbk  陳冠希
nwdo  陳松伶
nweh  陳水扁
nweo  陳潔儀
nwev  陳淑嫺
nwga  陳志明
nwgae 鯉景灣
nwgna 鯉魚門
nwgo  陳嘉敏
nwha  陳德明
nwjm  陳寶珠
nwjz  陳寶蓮
nwmj  陳列室
nwn   不了解
nwnq  不了解
nwnq  陳小春
nwnw  不見了
nwoc  陳偉業
nwp   不了情
nwqm  陳慧珊
nwqm  陳慧琳
nwsj  陳司翰
nwtt  陳芷菁
nwvv  陳婉嫻
nwwn  陳國強
nwyv  陳文媛
nwyz  陳奕迅
nxs   不變的
nxyp  不經意
nyao  外星人
nybq  不是用
nybr  不認同
nycb  外交部
nycj  外交官
nycu  不是說
nyds  外來的
nyhe  外香港
nyhk  外所有
nyhp  不熟悉
nyif  不認為
nyiu  外我們
nyivn 弦樂隊
nyivr 弦樂器
nyjc  不是真
nyjc  不誠實
nyjsh 障礙物
nyjy  不計較
nykg  不是在
nyms  外面的
nynr  不記名
nyo   不是人
nyok  不方便
nyonu 孩子們
nyp   不放心
nyqo  外邦人
nyrbm 陪同下
nyrf  不是嗎
nyrjw 陪審團
nyseg 防波堤
nysek 防水布
nyser 防盜器
nysft 防火巷
nysfv 防火牆
nyshd 防風林
nyshh 防身術
nyshr 防禦戰
nyshr 防身器
nysiy 防腐劑
nysje 防空洞
nysjg 防空壕
nysyw 防護團
nyto  外其他
nyty  外觀上
nyvn  不討好
nywj  外圍賽
nywo  外國人
nyws  外國的
nyws  外界的
nyy   不就是
nyy   不論是
nyyr  不諱言
nyzq  不放過
nzbhs 隨身聽
nzbq  不適用
nzfw  不適當
nzhp  不道德
nzi   不過我
nzihh 蛋白質
nzip  不適應
nzjm  不適宜
nzjq  不遵守
nzmv  不過要
nzor  不適合
nzos  不過佢
nzrr  不過唔
nzs   不遠的
nzy   不止是
nzy   不過是
nzyn  不遠處
nzyo  不過你
nzzy  不過這
oaaa  會問題
oaag  會得到
oabg  會受到
oabn  會服務
oadg  會想到
oaek  會沒有
oaeo  會減低
oahe  會香港
oaig  會感到
oajj  會客室
oajq  會考生
oajy  會考慮
oaka  會有關
oakd  會帶來
oakz  會知道
oamao 但即使
oambt 但目前
oamcy 但卻是
oamek 但沒有
oamgw 但到了
oamhe 但香港
oami  會要求
oamic 但我卻
oamiu 但我們
oamjn 但實際
oamka 但有關
oamkz 但有些
oamls 但由於
oamlw 但中國
oammi 但政府
oamnv 但可以
oamo  會工作
oamoi 但作為
oamoi 但係我
oamou 但他們
oamrk 但只有
oamrm 但只要
oamss 但礙於
oamtj 但其實
oamto 但其他
oamv  會更好
oamvc 但她卻
oamvo 但如何
oamvw 但如果
oamwi 但因為
oamye 但是對
oamyk 但亦有
oamyk 但是在
oamyk 但是有
oamym 但是否
oamyz 但是這
oamzh 但這種
oamzy 但這是
oamzy 但還是
oamzz 但這些
oana  會隨時
oang  會引起
oano  會不會
oans  會發展
oanv  會可以
oaob  會使用
oaog  會令到
oaou  會作出
oapq  會包括
oaqo  會提供
oarh  會員制
oaro  會員價
oaro  會唔會
oarw  會員國
oary  會員証
oary  會員證
oato  會其他
oaua  會覺得
oavi  會以為
oavo  會如何
oawn  會了解
oaww  會見了
oaxm  會網頁
oaxx  會繼續
oaya  會立即
oayb  會計部
oayh  會計師
oayh  會議所
oayi  會議廳
oayj  會議室
oayr  會議員
oays  會議的
oayt  會議前
oayu  會計學
oazg  會過去
oazi  會造成
oazt  會這樣
obbs  內部的
obce  內分泌
obcvb 俱樂部
obdo  內地人
obds  內地的
obhk  內所有
obiu  內我們
obka  內有關
obks  內在的
obmb  內政部
obmo  內工作
obnjp 俞宗怡
obns  人服務
obnv  內可以
obob  人體內
obob  內使用
obold 肉中刺
oboo  內任何
oboqr 肉搏戰
obpdo 愈來愈
obps  內心的
obqo  內提供
obs   人體的
obsx  內聯網
obtj  內蒙古
obto  內其他
obuh  內出血
obyl  內衣褲
ocag  他得到
ocdo  他本人
ocek  他沒有
ochaf 份問卷
ochjf 份資料
ochka 份有關
ochmo 份工作
ochs  他自己
ochy  他身上
ochzm 份之二
ocik  他現在
ociy  他應該
ocjs  他真的
ocka  他有關
ocky  他希望
ockz  他知道
ocmi  他政府
ocmm  他需要
ocmo  他一個
ocmt  他面前
ocna  他不得
ocnc  他又說
ocnh  他解釋
ocni  他不能
ocni  他可能
ocnm  他不要
ocno  他不但
ocno  他不會
ocnv  他可以
ocny  他不是
ocny  他強調
ocqg  他看到
ocqm  他表示
ocqu  他指出
ocryc 俗語說
ocsr  人公司
ocua  他覺得
ocuc  他們說
ocue  他們對
ocug  他們都
ocuk  他們在
ocum  他們要
ocun  他們不
ocuo  他們倆
ocuo  他們會
ocup  他們也
ocus  他們的
ocuy  他們是
ocvs  他媽的
ocxc  他續說
ocxs  他終於
ocyi  他認為
ocym  他是一
ocyy  他就是
oczt  他這樣
oczy  他還是
odhj  休息室
odjem 斜對面
odjp  休士頓
odkhm 敘利亞
odqks 偉大的
odty  休斯敦
oeay  雙關語
oebb  雙胞胎
oebm  雙月刊
oeds  雙村長
oegk  雙聲帶
oehh  雙簧管
oehm  雙循環
oehy  雙程證
oejh  雙十節
oejh  雙軌制
oejy  雙字詞
oekb  人沒有
oeni  雙子座
oeni  雙魚座
oeoh  雙人房
oeoi  雙人床
oeoo  雙人舞
oeqr  雙掛號
oetx  雙黃線
oewd  雙眼皮
oeyg  雙方都
ofdee 氣沖沖
ofdky 氣頭上
ofdns 氣象局
ofdrr 氣呼呼
ofpmm 您需要
ofpnv 您可以
ofpob 您使用
ofpqo 您提供
ofpym 您是否
ofqnt 伴隨著
ofs   人家的
ofun  人類學
ogad  全日本
ogah  全日制
ogbg  全部都
ogby  全部是
ogdki 集大成
ogdld 集中地
ogdlf 集中營
ogdlk 集中在
ogdls 集中於
ogdvh 集裝箱
ogep  全港性
oges  全港的
ogfi  全家福
oggy  全都是
oghe  全香港
oghh  全自動
ogio  全社會
oglw  全中國
ogmd  全面地
ogme  全亞洲
ogmi  全功能
ogmo  全天候
ogmo  全球化
ogmp  全球性
ogmp  全面性
ogmw  全攻略
ogn   人都不
ognkd 倒在地
ognnv 倒不如
ognwr 倒胃口
ognya 倒計時
ogof  全人類
ogos  全年的
ogpw  全世界
ogqn  全接觸
ogrmx 售票網
ogrmy 售票處
ogror 售貨員
ogto  人喜歡
ogwp  全國性
ogwq  全壘打
ogws  全國的
ogy   人都是
ogyo  全方位
ogys  全新的
ogzh  全過程
ogzo  全運會
ohaaj 伯明翰
ohabi 伯多祿
ohahh 伯特利
ohahp 伯利恆
ohbhs 偏重於
ohbkk 偏頭痛
ohdwx 侏羅紀
oheu  人香港
ohfhe 係香港
ohfmo 係一個
ohfnv 係可以
ohfro 係唔係
ohfwi 係因為
ohghe 任香港
ohgjj 任教者
ohgjs 任教於
ohgmf 任天堂
ohgoj 任何事
ohgoo 任何人
ohgos 任何的
ohgsy 任賢齊
ohgzt 任達華
ohiwt 俄羅斯
ohiyo 俄亥俄
ohjl  人和事
ohkb  人所有
ohlm  人物畫
ohmep 低水平
ohmhm 低血壓
ohmid 低成本
ohmig 低姿勢
ohmii 低姿態
ohmji 低密度
ohmmk 低下頭
ohmom 低氣壓
ohmow 低估了
ohmox 低年級
ohmqh 低技術
ohmtk 低著頭
ohmvo 低收入
oho   人與人
ohzt  人行道
oicgo 領域內
oicjo 領事館
oiclq 領袖生
oicpg 領悟到
oicwg 領略到
oiczj 領導者
oiczm 領導下
oiczo 領導人
oiczs 領導層
oiek  愛滋病
oifi  愛家庭
oihs  愛自己
oiht  愛德華
oiihe 令香港
oiiiu 令我們
oiika 令有關
oiikf 令大家
oiimi 令政府
oiiou 令他們
oiiu  愛我們
oikam 伏明霞
oimo  愛一個
oimo  愛丁堡
oimt  愛爾蘭
oinak 今日在
oinas 今日的
oinis 今次的
oinmk 今天在
oinmk 今天有
oinms 今天的
oinmy 今天是
oino  愛不愛
oinoi 今年底
oinoi 今年度
oinol 今年初
oinos 今年的
oinov 今年將
oipmd 代理權
oipmh 代理行
oipmo 代理人
oipmy 代理商
oipny 代名詞
oipqd 代表權
oipqn 代表隊
oipqo 代表人
oipqo 代表作
oipqo 代表會
oipqp 代表性
oipqt 代表著
oipqw 代表團
oipqy 代表處
oips  愛情的
oipyo 代言人
oisz  愛群道
oium  人我們
oiyo  愛立信
oiyw  愛上了
ojbo  人事部
ojfy  人資料
ojig  什麼都
ojij  什麼事
ojio  什麼人
ojis  什麼的
ojit  什麼樣
ojqal 傳聞中
ojqcl 傳說中
ojqds 傳來的
ojqek 傳染病
ojqep 傳染性
ojqgh 傳聲筒
ojqir 傳感器
ojqjd 傳真機
ojqjj 傳教士
ojqoh 傳令兵
ojqqu 傳播學
ojqrd 傳呼機
ojqxs 傳統的
ojqzg 傳送到
ojrng 估不到
ojrrg 估唔到
ojvr  人士如
ojvtm 氨基酸
ojyb  人士請
ojyo  午餐會
okba  使用時
okba  使用量
okbd  使用權
okbj  使用者
okbl  使用中
okbl  使用費
okbs  使用的
okbt  使用前
okbx  使用網
okby  使用上
okby  使用率
okbz  使用這
okbz  使用過
okfbj 繁體字
okfbl 繁體版
okfhb 繁簡體
okhe  使香港
okhk  使所有
okhs  使自己
okiu  使我們
okka  使有關
okkf  使大家
oklw  使中國
okmi  使政府
okmyz 佐敦道
okoi  使命感
okou  使人們
okou  使他們
oktaa 短時間
oktat 短時期
oktos 短短的
oktry 短距離
oktto 短期內
okwn  使眼色
okyu  使你們
okzo  使這個
okzt  人知道
okzy  人在這
olapb 伸懶腰
olauq 伸出手
oldaa 條問題
oldka 條有關
oldom 條件下
oldos 條件的
oldos 條例的
olhhj 修行者
olhmj 修正案
olhqw 修指甲
olhsv 修改後
olhyd 修訂本
olhyl 修訂版
olhys 修訂的
olhyv 修訂後
olhzn 修道院
olkzo 候選人
ollbn 介服務
ollxh 介紹所
ollxi 介紹我
ollxo 介紹人
ollxs 介紹的
ollxx 介紹網
olnfh 佛光街
olnjh 佛教徒
olnjw 佛教界
olnqd 佛手柑
ols   人數的
oltni 儘可能
olxi  人數約
omcbn 價服務
omcbq 價目表
omcdr 價格戰
omcds 價格的
omcos 價值的
omcot 價值觀
omebj 優勝者
omef  何鴻燊
omehf 優待券
omehq 優等生
omehs 優質的
omejf 優惠券
omejo 優惠價
omejs 優惠的
omems 優厚的
omems 優雅的
omeow 優缺點
omeqb 優先股
omeqd 優先權
omets 優美的
omewv 優異獎
omey  何況是
omfya 佘詩曼
omgo  何超儀
omgt  何嘉莉
omhom 乒乓球
omkav 便開始
omkek 便沒有
omkhi 便利店
omkiw 便成了
omkiy 便應該
omkjo 便宜貨
omkkz 便知道
omkmm 便需要
omkni 便不能
omkni 便可能
omkno 便不會
omknv 便可以
omkny 便不是
omkok 便會在
omkok 便會有
omkqm 便攜式
omkui 便出現
ommc  何厚鏵
ommo  何一個
ommof 仁愛堂
omms  何至於
ommv  人需要
omnd  丘陵地
omos  人工作
omov  何仙姑
omow  人一個
ompd  何世柱
omrbn 舍服務
omrhn 舍利子
omyr  人而言
omyw  何文田
omyy  何韻詩
oncoj 貪便宜
onib  人可能
onobe 飲用水
onoiu 像我們
onomo 像一個
onooc 飲食業
onoto 像其他
onozt 像這樣
onqiy 舞台劇
onqrr 舞蹈員
onqrw 舞蹈團
onres 含水層
onroa 含氧量
onrtt 含羞草
onsbk 仍然在
onsbo 仍然會
onsby 仍然是
onsek 仍沒有
onsgi 仍未能
onsgk 仍未有
onskh 仍有待
onsmm 仍需要
onsni 仍不能
onsnv 仍可以
onsoe 仍無法
onsok 仍會有
onsoq 仍保持
onsty 仍舊是
onsxq 仍維持
onsys 仍處於
onvo  人可以
oobmu 倫理學
oobq  人使用
oogf  入場券
oogfj 坐火車
oogj  入境者
oogl  入場費
oogmd 坐下來
oognd 坐飛機
oogy  入境處
oogy  入境證
oohbh 傷腦筋
oohe  入香港
oohip 傷感情
oohjw 傷害罪
oohmo 傷殘人
ooka  入有關
oomyo 俎上肉
oonej 偷渡客
oonod 偷偷地
oool  入會費
oopv  入世後
oory  入口處
ooum  人他們
oouy  入學試
opaa  人世間
opcdh 貨櫃船
opcdj 貨櫃車
opcgj 貸款額
opcgo 貸款人
opcza 貨運量
opczc 貨運業
oper  化油器
opn   人也不
opns  化發展
opoh  化合物
opop  人性化
opqr  人包括
oprd  人情味
opsh  化驗師
opsh  化驗所
opuh  化學物
opuh  化學科
opuh  化學系
opur  化學品
opvr  化妝品
oqbt  年同期
oqcdo 債權人
oqcfs 債券的
oqcno 債務人
oqcs  年公司
oqdjz 傑克遜
oqdus 傑出的
oqfb  年五月
oqhe  年香港
oqhy  年利率
oqis  年度的
oqit  年底前
oqiu  年我們
oqja  年輕時
oqjb  年七月
oqjo  年輕人
oqjo  年輕化
oqjs  年輕的
oqka  年有關
oqkb  人擁有
oqlm  年初一
oqlw  年中國
oqmb  年三月
oqmi  年政府
oqns  年發展
oqoc  人提供
oqol  年年中
oqos  年代的
oqpg  年平均
oqqo  年青人
oqrr  人生路
oqs   人生的
oqth  年薪制
oqtu  人生觀
oqvo  年收入
oqwb  年四月
oqxk  年紀大
oqyb  年六月
oqyo  年夜飯
orad  合得來
oraiy 智能卡
orajw 智囊團
oraon 智仁勇
oraqm 智慧型
ordaq 保時捷
ordhh 保管箱
ordhk 保留在
ordhs 保稅區
ordht 保留著
ordis 保良局
ordje 保守派
ordjr 保安員
ordjs 保安司
ordjs 保安局
ordmy 保麗龍
ordnc 保險業
ordnc 保險金
ordnl 保險費
ordno 保險人
ordns 保障的
ordqk 保持在
ordqt 保持著
ordto 保薦人
ordtt 保養期
ordy  合格率
ordy  合格證
ordyc 保證金
ordyl 保證書
ordyo 保護人
ordyo 保護傘
ordyp 保護性
